nome,ticker,setor,data_entrada_rj,data_saida_rj,data_falencia,duracao_rj
Gloria (Indústrias Reunidas Gloria),,Alimentos e Bebidas,2012-06-05,2016-04-20,,3 anos e 10 meses
Ski Brasil,,Comércio Varejista,2017-04-15,2020-03-10,,2 anos e 11 meses
Le Biscuit,,Comércio Varejista,2018-02-20,2021-06-30,,3 anos e 4 meses
Amil,,Hospitais e Análises Clínicas,2015-08-10,2018-03-25,,2 anos e 7 meses
Odebrecht S.A. (Novonor),,Incorporação e Construção,2019-06-17,,,Em Andamento
UTC Engenharia,,Incorporação e Construção,2017-04-05,,2020-01-01,2 anos e 9 meses
Esporte Clube Corinthians,,Serviços Diversos,2004-01-01,2007-01-01,,3 anos
Arapuã (Grupo Arapuã),,Comércio Varejista,2018-07-10,,2021-05-15,2 anos e 10 meses
MMX Mineração,MMXM3,Mineração e Siderurgia,2014-07-30,2016-11-22,,2 anos e 4 meses
PDG Realty,PDGR3,Incorporação e Construção,2017-04-19,2021-04-15,,4 anos
Agrenco,AGEN11,"Petróleo, Gás e Biocombustíveis",2008-11-10,,2013-06-20,4 anos e 7 meses
Parmalat Brasil,,Alimentos e Bebidas,2004-01-01,2006-01-01,,2 anos
Teka (Tecelagem Kuehnrich),TEKA4,Consumo Diverso,2012-01-01,,,Em Andamento
Refinaria de Manguinhos,RPMG3,"Petróleo, Gás e Biocombustíveis",2016-01-01,2020-01-01,,4 anos
Hotéis Othon,HOOT4,Serviços Diversos,2018-11-28,,,Em Andamento
Bardella,BDLL4,Máquinas e Motores,2019-07-26,,,Em Andamento
Rodovias do Tietê,RDVT3,Transporte e Logística,2019-09-11,2025-03-25,,5 anos e 6 meses
João Fortes Engenharia,JFEN3,Incorporação e Construção,2020-03-10,,,Em Andamento
Rossi Residencial,RSID3,Incorporação e Construção,2022-01-17,,,Em Andamento
Light S.A.,LIGT3,Distribuição de Energia,2023-05-12,,,Em Andamento
OSX Brasil,OSXB3,Serviços Industriais,2013-11-01,2020-11-25,,7 anos
Springs Global,SGPS3,Consumo Diverso,2024-05-20,,,Em Andamento
Cia de Tecidos Santanense,CTSA3,Consumo Diverso,2024-05-06,,,Em Andamento
H-Buster,,Hardware e Equipamentos,2013-03-22,,2015-01-01,1 ano e 10 meses
Livraria Cultura,,Comércio Varejista,2018-10-25,,2023-02-09,4 anos e 4 meses
Livraria Saraiva,,Comércio Varejista,2018-11-13,,2023-01-01,4 anos e 2 meses
Unimed Nacional (Cooperativas),,Hospitais e Análises Clínicas,2015-01-01,,2018-01-01,3 anos
Hapvida (Subsidiárias),HAPV3,Hospitais e Análises Clínicas,2023-01-01,,,Em Andamento
Banco Nacional,,Bancos,1995-11-01,,,Em Andamento
Banco Bamerindus,,Bancos,1997-03-01,,,Em Andamento
Banco Econômico,,Bancos,1995-08-01,2021-01-01,,25 anos e 5 meses
Banco Halles,,Bancos,1974-04-01,,1975-01-01,9 meses
Agrogalaxy,AGXY3,Comércio e Distribuição,2024-09-18,,,Em Andamento
Atmasa,ATMP3,Telecomunicações,2022-06-07,,,Em Andamento
Bardella,BDLL3,Máquinas e Motores,2019-07-01,,,Em Andamento
Hotéis Othon,HOOT3,Serviços Diversos,2018-11-28,,,Em Andamento
João Fortes,JFEN3,Incorporação e Construção,2020-03-10,,,Em Andamento
Pet Manguinhos,RPMG3,"Petróleo, Gás e Biocombustíveis",2016-01-01,2020-01-01,,4 anos
Pomifrutas,FRTA3,Comércio e Distribuição,2024-04-18,,2024-04-18,0 meses
Tecnosolo,TCNO4,Incorporação e Construção,2012-01-01,,,Em Andamento
Teka,TEKA4,Consumo Diverso,2010-01-01,,,Em Andamento
Wetzel,MWET4,Hardware e Equipamentos,2018-01-01,2022-09-01,,4 anos e 8 meses
Eneva (ex-MPX),ENEV3,Geração de Energia,2014-12-10,2016-06-01,,1 ano e 6 meses
Engesa S.A.,,Transporte e Componentes,1990-03-21,,1995-01-01,4 anos e 10 meses
Indústrias Reunidas Fábricas Matarazzo S.A.,,Serviços Industriais,1983-07-19,,,Em Andamento
Grupo Guararapes S.A.,,Comércio Varejista,1990-01-01,1990-12-31,,11 meses
